Name,Legacy SKU Name,UPC Code,Inner GTIN-14,Master GTIN-14,Product Packaged Length,Product Packaged Width,Product Packaged Height,Weight,Weight Units, MSRP (USD) ,Country of Origin,Minimum Qty, Wholesale Price ,Sales Description
100000012,9,8.52E+11,1.09E+13,2.09E+13,0.875,2.125,8.313,0.167,lb,$12.99 ,CN,6,$7.50 ,Nailfrida The Snipperclipper Set
100000016,MS-MWBL-NS-US00,8.52E+11,1.09E+13,2.09E+13,3,3,7.25,0.342,lb,$15.99 ,CN,6,$8.79 ,Upside Down Peri Bottle - Pink
100000027,18,8.52E+11,1.09E+13,2.09E+13,1.688,2.75,6.813,0.121,lb,$9.99 ,CN,3,$5.00 ,Nailfrida The Snipperclipper Solo
100000028,19,8.52E+11,1.09E+13,2.09E+13,2,3.25,8,0.158,lb,$12.99 ,US,4,$7.50 ,Medifrida The Accu-Doser
100000032,22,8.52E+11,1.09E+13,2.09E+13,0.25,2.75,5.625,0.065,lb,$5.99 ,CN,6,$3.60 ,S-Curved Nail Files (5pack)
100000033,23,8.52E+11,1.09E+13,2.09E+13,1.75,4.563,9.963,0.342,lb,$10.99 ,CN,4,$7.09 ,Dermafrida The Skinsoother -2pk
100000036,024b,8.52E+11,1.09E+13,2.09E+13,2.563,3.563,6.125,0.542,lb,$4.99 ,IL,4,$3.00 ,BreatheFrida Nose-Chest Wipes (30ct)
100000037,27,8.52E+11,1.09E+13,2.09E+13,1.188,5,8.25,0.333,lb,$9.99 ,CN,3,$5.49 ,Dermafrida Bath Mitt
100000038,30,8.52E+11,1.09E+13,2.09E+13,1.5,3.818,6.5,0.167,lb,$6.99 ,CN,3,$4.20 ,DermaFrida SkinSoother 1pk
100000039,033 ALL:033,8.52E+11,1.09E+13,2.09E+13,1.75,3.125,5,0.104,lb,$7.99 ,CN,4,$4.79 ,Smilefrida Finger Brush
100000042,037b,8.52E+11,1.09E+13,2.09E+13,1.8,2.5,4.75,0.11,lb,$5.99 ,CN,4,$3.29 ,Dermafrida Flake Fixer Replacement Sponge - 2pk
100000043,037d,8.52E+11,3.09E+13,4.09E+13,2.438,5.75,8.625,0.383,lb,$16.99 ,CN,4,$9.35 ,Dermafrida Flake Fixer
100000044,47,8.52E+11,1.09E+13,2.09E+13,0.938,3.688,7.625,0.267,lb,$7.99 ,CN,4,$4.39 ,Feverfrida Cool Pads 5ct
100000051,53,8.52E+11,,2.09E+13,9.25,9.5,9.563,2.85,lb,$44.99 ,CN,4,$24.74 ,Breathefrida The Humidifier
100000055,54,8.52E+11,1.09E+13,2.09E+13,1.875,1.688,6.75,0.442,lb,$8.99 ,US,4,$5.39 ,Breathefrida Vapor Bath Bombs 3ct
100000057,054x,8.10E+11,1.08E+13,2.08E+13,2.75,7,9,1.313,lb,$19.99 ,US,4,$11.50 ,Breathefrida Vapor Bath Bombs 10ct
100000060,67,8.52E+11,1.09E+13,2.09E+13,1.75,3.5,8,0.358,lb,$19.99 ,CN,4,$11.40 ,3-in-1 Tru Temp Thermometer 
100000061,68,8.10E+11,1.08E+13,2.08E+13,2,4,9.5,0.567,lb,$52.99 ,CN,3,$34.98 ,Infrared Thermometer 
100000062,73,8.10E+11,1.08E+13,2.08E+13,5.5,3.375,7.75,0.533,lb,$9.99 ,CN,3,$5.50 ,Infant Hairbrush + comb + case (Head-Hugging Hair Brush + Comb)
100000063,74,8.10E+11,1.08E+13,2.08E+13,4,3,11,0.517,lb,$9.99 ,CN,4,$5.50 ,Toddler Fine or Straight Hair Detangler 
100000064,75,8.10E+11,1.08E+13,2.08E+13,4,3.2,11,0.483,lb,$9.99 ,CN,4,$5.50 ,Toddler Thick or Curly Hair Detangler 
100000065,77,8.10E+11,1.08E+13,2.08E+13,1.688,3.938,7.688,0.242,lb,$9.99 ,CN,4,$4.40 ,3-in-1 Picker
100000066,78,8.10E+11,1.08E+13,2.08E+13,2.5,3.75,11.25,0.35,lb,$19.99 ,CN,4,$11.00 ,Paci Weaning System
100000067,79,8.52E+11,1.09E+13,2.09E+13,1.875,1.938,6.75,0.417,lb,$8.99 ,US,4,$4.95 ,Sleepfrida Lavender Bath Bombs
100000068,88,8.10E+11,1.08E+13,2.08E+13,1.063,3.5,7.625,0.25,lb,$16.99 ,CN,4,$9.35 ,Quick Read Rectal Thermometer
100000069,92,8.10E+11,1.08E+13,2.08E+13,0.875,3.25,8.75,0.117,lb,$7.99 ,CN,6,$4.00 ,SmileFrida 2.0 Toothhugger  Yellow
100000070,092b,8.10E+11,1.08E+13,2.08E+13,0.875,3.25,8.75,0.117,lb,$7.99 ,CN,6,$4.00 ,SmileFrida 2.0 Toothhugger  Blue
100000072,092d,8.10E+11,1.08E+13,2.08E+13,0.875,3.25,8.75,0.117,lb,$7.99 ,CN,6,$4.00 ,SmileFrida 2.0 Toothhugger  Pink
100000074,101,8.10E+11,1.08E+13,2.08E+13,0.625,3.25,8,0.167,lb,$7.99 ,CN,3,$4.29 ,Teach Me Gumhugger 
100000075,102,8.10E+11,1.08E+13,2.08E+13,0.813,3.25,8,0.15,lb,$7.99 ,CN,3,$4.00 ,Training Toothhugger  
